Name,Company,Registration No,Brand,Service,Region,Inspector,Phone,Image,Detail Link
«Бала парк»,«НУРОВ БЕРИК КУАНЫШЕВИЧ» ЖК,№ 001316,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Тамақтану орындары,Абай облысы,Сыздықов Ардақ,87052409327,https://halaldamu.kz/storage/app/uploads/public/f1a/e4a/bc4/thumb__278_202_0_0_auto.png,https://halaldamu.kz/kk/m/nurov-berik-kuanyshevich-zhk
"«Тянь-Шань», «Туркестан»",«Ерасыл-2030» ЖШС,№ 001310,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Ұн өндірісі және нан өнімдері,Шымкент қаласы,Сарыбаев Қазбек,87018610025,https://halaldamu.kz/storage/app/uploads/public/68e/c95/3bb/thumb_12842_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/erasyl-2030-zhshs
«Айжамал тәттілері»,«Aizhamal Group» ЖШС,№ 000552/11,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Кондитерлік өнімдері,Алматы қаласы,Сарыбаев Қазбек,87077475907,https://halaldamu.kz/storage/app/uploads/public/68e/c90/022/thumb_12828_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/aizhamal-group-zhshssavvds
«Айжамал тәттілері»,«Aizhamal Group» ЖШС,№ 000552/10,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Кондитерлік өнімдері,Шымкент қаласы,Сарыбаев Қазбек,87077475907,https://halaldamu.kz/storage/app/uploads/public/68e/c8f/219/thumb_12826_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/aizhamal-group-zhshsgdhge
«Айжамал тәттілері»,«Aizhamal Group» ЖШС,№ 000552/9,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Кондитерлік өнімдері,Шымкент қаласы,Сарыбаев Қазбек,87077475907,https://halaldamu.kz/storage/app/uploads/public/68e/c8d/7c0/thumb_12824_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/aizhamal-group-zhshsrgfgbhf
«Айжамал тәттілері»,«Aizhamal Group» ЖШС,№ 000552/8,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Кондитерлік өнімдері,Шымкент қаласы,Сарыбаев Қазбек,87077475907,https://halaldamu.kz/storage/app/uploads/public/68e/c8c/4e8/thumb_12823_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/aizhamal-group-zhshsgnfhm
«Айжамал тәттілері»,«Aizhamal Group» ЖШС,№ 000552/7,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Тамақтану орындары,Шымкент қаласы,Сарыбаев Қазбек,87077475907,https://halaldamu.kz/storage/app/uploads/public/68e/c8b/d89/thumb_12821_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/aizhamal-group-zhshslyuikt
«Айжамал тәттілері»,«Aizhamal Group» ЖШС,№ 000552/6,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Кондитерлік өнімдері,Шымкент қаласы,Сарыбаев Қазбек,87077475907,https://halaldamu.kz/storage/app/uploads/public/68e/c8b/51d/thumb_12818_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/aizhamal-group-zhshsgdghdtg
«Айжамал тәттілері»,«Aizhamal Group» ЖШС,№ 000552/5,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Кондитерлік өнімдері,Шымкент қаласы,Сарыбаев Қазбек,87077475907,https://halaldamu.kz/storage/app/uploads/public/68e/c8a/bf4/thumb_12816_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/aizhamal-group-zhshshd
«Айжамал тәттілері»,«Aizhamal Group» ЖШС,№ 000552/4,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Кондитерлік өнімдері,Шымкент қаласы,Сарыбаев Қазбек,87077475907,https://halaldamu.kz/storage/app/uploads/public/68e/c8a/425/thumb_12815_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/aizhamal-group-zhshs
«Айжамал тәттілері»,«Aizhamal Group» ЖШС,№ 000552/3,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Кондитерлік өнімдері,Шымкент қаласы,Сарыбаев Қазбек,87077475907,https://halaldamu.kz/storage/app/uploads/public/68e/c89/cb0/thumb_12813_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/aizhamal-group-zhshsjnjn
«Айжамал тәттілері»,«Aizhamal Group» ЖШС,№ 000552/2*,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Кондитерлік өнімдері,Шымкент қаласы,Сарыбаев Қазбек,87077475907,https://halaldamu.kz/storage/app/uploads/public/68e/c88/98a/thumb_12810_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/aizhamal-group-zhshsascxc
«Айжамал тәттілері»,«Aizhamal Group» ЖШС,№ 000552/1*,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Кондитерлік өнімдері,Шымкент қаласы,Сарыбаев Қазбек,87077475907,https://halaldamu.kz/storage/app/uploads/public/68e/c88/416/thumb_12809_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/aizhamal-group-zhshshjf
«Достар»,«СУЛТАНОВА Н.Е.» ЖК,№ 000490/1,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Тамақтану орындары,Қарағанды,Амангелді Асқаров,+77023428568,https://halaldamu.kz/storage/app/uploads/public/68e/c86/f0d/thumb_12806_278_202_0_0_auto.jpeg,https://halaldamu.kz/kk/m/sultanova-ne-zhklgkhidt
–,«Шакенов М.Қ» ЖК,№ 001313,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Ет дүкені,Қарағанды,Амангелді Асқаров,87066622022,https://halaldamu.kz/storage/app/uploads/public/f1a/e4a/bc4/thumb__278_202_0_0_auto.png,https://halaldamu.kz/kk/m/shakenov-m-zhk
«Doner food»,«Байтерек» ЖК,№ 001314,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Тамақтану орындары,Қарағанды,Амангелді Асқаров,87079499949,https://halaldamu.kz/storage/app/uploads/public/68e/378/6e5/thumb_12779_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/bajterek-zhkghgfjs
«Flame Group»,«Flame group» ЖШС,№ 001312,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Ет өңдеу (ет комбинаты),Алматы қаласы,Терликбаев Омиржан,87079708553,https://halaldamu.kz/storage/app/uploads/public/f1a/e4a/bc4/thumb__278_202_0_0_auto.png,https://halaldamu.kz/kk/m/flame-group-zhshs
«Bereket.testo»,«ҮСЕНҚҰЛОВ АЛМАС БАХЫТҰЛЫ» ЖК,№ 001311,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Жартылай фабрикаттар,Маңғыстау облысы,Іздібай Бегенұлы,87018610025,https://halaldamu.kz/storage/app/uploads/public/f1a/e4a/bc4/thumb__278_202_0_0_auto.png,https://halaldamu.kz/kk/m/senlov-almas-bahytly-zhk
«Ет Маркет АС»,«Кайнозой» ЖШС,№ 001309,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Ет дүкені,Астана қаласы,Дулат Қадырұлы,87004140381,https://halaldamu.kz/storage/app/uploads/public/f1a/e4a/bc4/thumb__278_202_0_0_auto.png,https://halaldamu.kz/kk/m/kajnozoj-zhshs
–,«ДАЙНОВ УТЕЖАН» ЖК,№ 001308,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Қасапхана,Атырау облысы,Амангелдиев Ақылбек,87014648884,https://halaldamu.kz/storage/app/uploads/public/f1a/e4a/bc4/thumb__278_202_0_0_auto.png,https://halaldamu.kz/kk/m/dajnov-utezhan-zhk
«VOW»,«VOW Kazakhstan» ЖШС,№ 001307,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Косметика,Алматы қаласы,Терликбаев Омиржан,87056961557,https://halaldamu.kz/storage/app/uploads/public/68e/374/5e2/thumb_12773_278_202_0_0_auto.jpeg,https://halaldamu.kz/kk/m/vow-kazakhstan-zhshs
«YESECO»,ТОО «Фабрика натуральных продуктов»,№ 000882/1,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Бал өндірісі,Алматы облысы,Жұмабеков Жанәбіл,8776 025 11 93,https://halaldamu.kz/storage/app/uploads/public/68f/867/cb0/thumb_13097_278_202_0_0_auto.png,https://halaldamu.kz/kk/m/too-fabrika-naturalnyh-produktovdfgsdg
«Compote»,«Хамза» ЖК,№ 000609/2,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Тамақтану орындары,СҚО,Аманжолов Мақсат,87752132496,https://halaldamu.kz/storage/app/uploads/public/68e/35e/eaa/thumb_12732_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/hamza-zhkfgdf
«CTR CHICKEN»,«АТСА» ЖШС,№ 000650/3,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Фаст-фуд өнімдері,Ақмола облысы,Муталов Науан,+7,https://halaldamu.kz/storage/app/uploads/public/68d/a54/55e/thumb_12718_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/atsa-zhshsklfdn
«CTR CHICKEN»,«АТСА» ЖШС,№ 000650/2,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Фаст-фуд өнімдері,СҚО,Аманжолов Мақсат,+7,https://halaldamu.kz/storage/app/uploads/public/68d/a54/5fe/thumb_12719_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/atsa-zhshsfdgsdg
«Dala ayran»,«Dala susyny» ЖШС,№ 001306,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Сүт өнімдері,Астана қаласы,Дулат Қадырұлы,87078088468,https://halaldamu.kz/storage/app/uploads/public/f1a/e4a/bc4/thumb__278_202_0_0_auto.png,https://halaldamu.kz/kk/m/dala-susyny-zhshs
«Doner Club»,«SATTY» ЖК,№ 001305,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Тамақтану орындары,Қарағанды,Амангелді Асқаров,87080269898,https://halaldamu.kz/storage/app/uploads/public/68e/8fc/251/thumb_12788_278_202_0_0_auto.jpeg,https://halaldamu.kz/kk/m/satty-zhk
«Атбасар Агро»,«Кульсаринова А.А.» ЖК,№ 001304,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Ет дүкені,Астана қаласы,Дулат Қадырұлы,87759817752,https://halaldamu.kz/storage/app/uploads/public/f1a/e4a/bc4/thumb__278_202_0_0_auto.png,https://halaldamu.kz/kk/m/kulsarinova-zhk
«Sybaga»,«Мусатаева Ж.Р.» ЖК,№ 001303/2,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Ет дүкені,Астана қаласы,Дулат Қадырұлы,87015188442,https://halaldamu.kz/storage/app/uploads/public/f1a/e4a/bc4/thumb__278_202_0_0_auto.png,https://halaldamu.kz/kk/m/musataeva-zhr-zhkljbh
«Sybaga»,«Мусатаева Ж.Р.» ЖК,№ 001303/1,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Ет дүкені,Астана қаласы,Дулат Қадырұлы,87015188442,https://halaldamu.kz/storage/app/uploads/public/f1a/e4a/bc4/thumb__278_202_0_0_auto.png,https://halaldamu.kz/kk/m/musataeva-zhr-zhkvsdv
«Sybaga»,«Мусатаева Ж.Р.» ЖК,№ 001303,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Ет дүкені,Астана қаласы,Дулат Қадырұлы,87015188442,https://halaldamu.kz/storage/app/uploads/public/f1a/e4a/bc4/thumb__278_202_0_0_auto.png,https://halaldamu.kz/kk/m/musataeva-zhr-zhkvsdgv
«Doner na Argynbеkova»,«Олигарх» ЖК,№ 000996/5,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Фаст-фуд өнімдері,Түркістан облысы,Мұстафа Калджанович,8 747 717 90 00,https://halaldamu.kz/storage/app/uploads/public/68f/856/6ee/thumb_13057_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/oligarh-zhklmbfn
«Doner na Argynbеkova»,«Олигарх» ЖК,№ 000996/4,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Фаст-фуд өнімдері,Шымкент қаласы,Сарыбаев Қазбек,8 747 717 90 00,https://halaldamu.kz/storage/app/uploads/public/68f/856/7ae/thumb_13058_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/oligarh-zhknhf
«Doner na Argynbеkova»,«Олигарх» ЖК,№ 000996/3,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Фаст-фуд өнімдері,Шымкент қаласы,Сарыбаев Қазбек,8 747 717 90 00,https://halaldamu.kz/storage/app/uploads/public/68f/856/87b/thumb_13059_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/oligarh-zhksda
«Doner na Argynbеkova»,«Олигарх» ЖК,№ 000996/2,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Фаст-фуд өнімдері,Шымкент қаласы,Сарыбаев Қазбек,8 747 717 90 00,https://halaldamu.kz/storage/app/uploads/public/68f/856/b24/thumb_13062_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/oligarh-zhkfhd
«Izumi Sushi»,«Айтпаев Нурлан Асылханович» ЖК,№ 000642/2,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Фаст-фуд өнімдері,Астана қаласы,Дулат Қадырұлы,+7,https://halaldamu.kz/storage/app/uploads/public/68d/a3d/cec/thumb_12697_278_202_0_0_auto.png,https://halaldamu.kz/kk/m/ajtpaev-nurlan-asylhanovich-zhk
«BIZDIN ET»,«Дүйсен НК» ЖК,№ 000358/4,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Ет дүкені,Астана қаласы,Дулат Қадырұлы,+7 775 447 57 34,https://halaldamu.kz/storage/app/uploads/public/68f/232/e5d/thumb_12894_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/djsen-nk-zhkfa
«Айжамал тәттілері»,«Ayzada Kz» ЖШС,№ 000739/3,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Кондитерлік өнімдері,Түркістан облысы,Мұстафа Калджанович,87784646991,https://halaldamu.kz/storage/app/uploads/public/68d/a39/7ca/thumb_12682_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/ayzada-kz-zhshssddf
«Айжамал тәттілері»,«Ayzada Kz» ЖШС,№ 000739/2,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Кондитерлік өнімдері,Түркістан облысы,Мұстафа Калджанович,87784646991,https://halaldamu.kz/storage/app/uploads/public/68d/a39/90d/thumb_12683_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/ayzada-kz-zhshsfds
«Айжамал тәттілері»,«Ayzada Kz» ЖШС,№ 000739/1,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Кондитерлік өнімдері,Түркістан облысы,Мұстафа Калджанович,87784646991,https://halaldamu.kz/storage/app/uploads/public/68d/a37/cbe/thumb_12678_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/ayzada-kz-zhshs
