name,product_name,halal_code,fda_number,barcode,expiry_date,company_name,company_address,company_email,cordinator_name,cordinator_contact,long_product_detail,image_link,category
N/A,A flexible intermediate bulk container (FIBC) for infant and food product,18R8130010966,N/A,N/A,18/09/2025,"Thai Masterpack Co.,Ltd","94/2 Moo 8 Suksawat 72 Rd. Tumbol Bang Khru, Amphoe Phra Pradaeng, Samut Prakan 10130., Bang Khru, Phra Pradaeng, Samut Prakan, 10130",Sunisa@thaimasterpack.com,Ms. Sunisa,02-4641670#101,A flexible intermediate bulk container (FIBC) make from food grade material.,https://halal.co.th/storages/products/719831.jpg,Services
N/A,Bag Making Process,18T0440020767,N/A,N/A,23/07/2025,thainissei Packaging,"488 M.7, Tha Tum, Si Maha Phot, Prachin Buri 25140, Thailand., Tha Tum, Si Maha Phot, Prachin Buri, 25140",thainissei_hr@hotmail.com,์Nongluk Aemsee,0813770477,,https://halal.co.th/storages/products/649928.jpg,Services
N/A,Brown kraft paper bag (Inner layer is paper.),18U2340040368,0,N/A,03/03/2026,"T TARUTANI PACK CO.,LTD.","244 Moo.6, Ratchasima-Chockchai Road., Nong Rawiang, Mueang Nakhon Ratchasima, Nakhon Ratchasima 30000, Thailand., Nong Rawiang, Mueang Nakhon Ratchasima, Nakhon Ratchasima, 30000",ttarutani.dc@gmail.com,Sonthiya Raiprommarat,044327599,,https://halal.co.th/storages/products/787205.jpg,Services
N/A,Brown kraft paper bag (Inner layer is PE liner.),18U2340020368,0,N/A,03/03/2026,"T TARUTANI PACK CO.,LTD.","244 Moo.6, Ratchasima-Chockchai Road., Nong Rawiang, Mueang Nakhon Ratchasima, Nakhon Ratchasima 30000, Thailand., Nong Rawiang, Mueang Nakhon Ratchasima, Nakhon Ratchasima, 30000",ttarutani.dc@gmail.com,Sonthiya Raiprommarat,044327599,,https://halal.co.th/storages/products/787203.jpg,Services
N/A,COMPOSTABLE COMPOUND PLX SI100,18T6070041167,N/A,N/A,06/11/2025,"MITR PHOL BIOTECH CO., LTD","2 Ploenchit Center, 3rd Fl., Sukhumvit Rd., Klongtoey, Bangkok 10110, Thailand., Khlong Toei, Khet Khlong Toei, Bangkok, 10110",satitaj@mitrphol.com,Satita Jiamsuchon,0816295383,COMPOSTABLE COMPOUND PLX SI100,https://halal.co.th/storages/products/767064.jpg,Services
N/A,COMPOSTABLE COMPOUND PLX SI100,18T6070041167,N/A,N/A,06/11/2025,"MITR PHOL BIOTECH CO., LTD","2 Ploenchit Center, 3rd Fl., Sukhumvit Rd., Klongtoey, Bangkok 10110, Thailand., Khlong Toei, Khet Khlong Toei, Bangkok, 10110",satitaj@mitrphol.com,Satita Jiamsuchon,0816295383,COMPOSTABLE COMPOUND PLX SI100,https://halal.co.th/storages/products/768096.jpg,Services
N/A,COMPOSTABLE COMPOUND PLX ST100,18T6070061167,N/A,N/A,06/11/2025,"MITR PHOL BIOTECH CO., LTD","2 Ploenchit Center, 3rd Fl., Sukhumvit Rd., Klongtoey, Bangkok 10110, Thailand., Khlong Toei, Khet Khlong Toei, Bangkok, 10110",satitaj@mitrphol.com,Satita Jiamsuchon,0816295383,COMPOSTABLE COMPOUND PLX ST100,https://halal.co.th/storages/products/768095.jpg,Services
N/A,COMPOSTABLE COMPOUND PLX ST100,18T6070061167,N/A,N/A,06/11/2025,"MITR PHOL BIOTECH CO., LTD","2 Ploenchit Center, 3rd Fl., Sukhumvit Rd., Klongtoey, Bangkok 10110, Thailand., Khlong Toei, Khet Khlong Toei, Bangkok, 10110",satitaj@mitrphol.com,Satita Jiamsuchon,0816295383,COMPOSTABLE COMPOUND PLX ST100,https://halal.co.th/storages/products/767065.jpg,Services
N/A,COMPOSTABLE COMPOUND PLX TPS SI100,18T6070021167,N/A,N/A,06/11/2025,"MITR PHOL BIOTECH CO., LTD","2 Ploenchit Center, 3rd Fl., Sukhumvit Rd., Klongtoey, Bangkok 10110, Thailand., Khlong Toei, Khet Khlong Toei, Bangkok, 10110",satitaj@mitrphol.com,Satita Jiamsuchon,0816295383,PLX TPS SI100,https://halal.co.th/storages/products/765051.jpg,Services
N/A,COMPOSTABLE COMPOUND PLX TPS SI100,18T6070021167,N/A,N/A,06/11/2025,"MITR PHOL BIOTECH CO., LTD","2 Ploenchit Center, 3rd Fl., Sukhumvit Rd., Klongtoey, Bangkok 10110, Thailand., Khlong Toei, Khet Khlong Toei, Bangkok, 10110",satitaj@mitrphol.com,Satita Jiamsuchon,0816295383,PLX TPS SI100,https://halal.co.th/storages/products/765017.jpg,Services
N/A,COMPOSTABLE COMPOUND PLX TPS ST100,18T6070051167,N/A,N/A,06/11/2025,"MITR PHOL BIOTECH CO., LTD","2 Ploenchit Center, 3rd Fl., Sukhumvit Rd., Klongtoey, Bangkok 10110, Thailand., Khlong Toei, Khet Khlong Toei, Bangkok, 10110",satitaj@mitrphol.com,Satita Jiamsuchon,0816295383,PLX TPS ST100,https://halal.co.th/storages/products/767063.jpg,Services
N/A,COMPOSTABLE COMPOUND PLX TPS ST100,18T6070051167,N/A,N/A,06/11/2025,"MITR PHOL BIOTECH CO., LTD","2 Ploenchit Center, 3rd Fl., Sukhumvit Rd., Klongtoey, Bangkok 10110, Thailand., Khlong Toei, Khet Khlong Toei, Bangkok, 10110",satitaj@mitrphol.com,Satita Jiamsuchon,0816295383,PLX TPS ST100,https://halal.co.th/storages/products/768094.jpg,Services
N/A,Container liner,18P2610010665,N/A,N/A,06/06/2026,Signode (Thailand) Ltd. (Branch 00003),"49/44 Moo 5, Tungsukla, Sriracha, Chonburi 20230, Thailand., Thung Sukhla, Si Racha, Chon Buri, 20230",kcharoenying@signode.com,Kam-oun Charoenying,0890701863,,https://halal.co.th/storages/products/668895.jpg,Services
DIAMIRON,DIAMIRON MULTI-LAYER PLASTIC FILM F TYPE,18U0370010168,N/A,N/A,15/01/2026,"Mitsubishi Chemical (Thailand) Co., Ltd",7/523 Amata city industrial Rayong Moo.6 T. Mabyangporn A. Pluakdaeng Rayong 21140,saysunee.rugsawong.ma@mcgc.com,Ms.Saysunee Rugsawong,0982538395,"1.Film sheet, smooth surface, clean, available in clear and color film, no dust, no animal vectors, no foreign objects.
2.Product F Type F is suitable for frozen food and pasteurized products maximum 90C°",https://halal.co.th/storages/products/802847.jpg,Services
DIAMIRON,DIAMIRON MULTI-LAYER PLASTIC FILM W TYPE,18U0370020168,N/A,N/A,15/01/2026,"Mitsubishi Chemical (Thailand) Co., Ltd",7/523 Amata city industrial Rayong Moo.6 T. Mabyangporn A. Pluakdaeng Rayong 21140,saysunee.rugsawong.ma@mcgc.com,Ms.Saysunee Rugsawong,0982538395,"1.Film sheet, smooth surface, clean, available in clear and color film, no dust, no animal vectors, no foreign objects.
2.Products W type are suitable for pasteurization and microwave applications temperature 90C° – 121C° and maintain freshness and extend the shelf life of food.",https://halal.co.th/storages/products/802844.jpg,Services
N/A,Drum liner,18P2610020668,N/A,N/A,06/06/2026,Signode (Thailand) Ltd. (Branch 00003),"49/44 Moo 5, Tungsukla, Sriracha, Chonburi 20230, Thailand., Thung Sukhla, Si Racha, Chon Buri, 20230",kcharoenying@signode.com,Kam-oun Charoenying,0890701863,Plastic bag of inner drum liner,https://halal.co.th/storages/products/819193.jpeg,Services
-,EASY OPEN END,18L6180031063,N/A,N/A,13/10/2026,"Standard‌ ‌Can‌  ‌Co.,‌ ‌Ltd.‌","219, 219/9, 219/29 Thepharak Road, Bang Phli Yai, Bang Phli District, Samut Prakan 10540, Thailand., Bang Phli Yai, Bang Phli, Samut Prakan, 10540",Temjit@standardcan.com,K.Temjit Namwongsa,0818692109,,https://halal.co.th/storages/products/565093.jpg,Services
BETTER PHARMA,EXTREMIX FELINE ISV 002,19D7680501264,กปศ. 01 04 53 0432,N/A,27/12/2026,"BETTER  PHARMA  CO., LTD.","323  MOO 6, VIBHAVADIRANGSIT ROAD, LAKSI, BANGKOK  10210, THAILAND., Thung Song Hong, Khet Lak Si, Bangkok, 10210",Jirasakk@betagro.com,Sumaporn Khaokham,0996535364,,https://halal.co.th/storages/products/660763.JPG,Services
BETTER PHARMA,EXTREMIX FELINE ISV 003,19D7680511264,กปศ. 01 04 61 0020,N/A,27/12/2026,"BETTER  PHARMA  CO., LTD.","323  MOO 6, VIBHAVADIRANGSIT ROAD, LAKSI, BANGKOK  10210, THAILAND., Thung Song Hong, Khet Lak Si, Bangkok, 10210",Jirasakk@betagro.com,Sumaporn Khaokham,0996535364,,https://halal.co.th/storages/products/660764.JPG,Services
BETTER PHARMA,EXTREMIX FELINE ISV 004,19D7680521264,01 04 62 0392,N/A,27/12/2026,"BETTER  PHARMA  CO., LTD.","323  MOO 6, VIBHAVADIRANGSIT ROAD, LAKSI, BANGKOK  10210, THAILAND., Thung Song Hong, Khet Lak Si, Bangkok, 10210",Jirasakk@betagro.com,Sumaporn Khaokham,0996535364,,https://halal.co.th/storages/products/660765.JPG,Services
BETTER PHARMA,FELINE PREMIX ISV,19D7680651267,กปศ. 01 04 51 0618,N/A,27/12/2026,"BETTER  PHARMA  CO., LTD.","323  MOO 6, VIBHAVADIRANGSIT ROAD, LAKSI, BANGKOK  10210, THAILAND., Thung Song Hong, Khet Lak Si, Bangkok, 10210",Jirasakk@betagro.com,Sumaporn Khaokham,0996535364,,https://halal.co.th/storages/products/780250.jpg,Services
"SIAMPRESS CO.,LTD.",Film Packaging Linear Low Density Polyethylene(LLDPE),18J3640040567,N/A,N/A,20/05/2026,SIAMPRESS COMPANY LIMITED.,"30/88  MOO 1, CHETSADAWITHI RD., T.KHOKKAM, A.MUANG, SAMUTSAKHON, 74000, THAILAND., Khok Kham, Mueang Samut Sakhon, Samut Sakhon, 74000",rujee@tks.co.th,Rujee,086-3699244,Film Packaging Linear Low Density Polyethylene(LLDPE),https://halal.co.th/storages/products/762232.jpg,Services
"SIAMPRESS CO.,LTD.",Film Packaging Metalized Polyester(MPET) Type,18J3640050567,N/A,N/A,20/05/2026,SIAMPRESS COMPANY LIMITED.,"30/88  MOO 1, CHETSADAWITHI RD., T.KHOKKAM, A.MUANG, SAMUTSAKHON, 74000, THAILAND., Khok Kham, Mueang Samut Sakhon, Samut Sakhon, 74000",rujee@tks.co.th,Rujee,086-3699244,Film Packaging Metalized Polyester(MPET) Type,https://halal.co.th/storages/products/762228.jpg,Services
"SIAMPRESS CO.,LTD.",Film Packaging Oriented Polypropylene(OPP) Type,18J3640060567,N/A,N/A,20/05/2026,SIAMPRESS COMPANY LIMITED.,"30/88  MOO 1, CHETSADAWITHI RD., T.KHOKKAM, A.MUANG, SAMUTSAKHON, 74000, THAILAND., Khok Kham, Mueang Samut Sakhon, Samut Sakhon, 74000",rujee@tks.co.th,Rujee,086-3699244,Film Packaging Oriented Polypropylene(OPP) Type,https://halal.co.th/storages/products/762229.jpg,Services
"SIAMPRESS CO.,LTD.",Film Packaging Polyethylene Terephthalate(PET) Type,18J3640070567,N/A,N/A,20/05/2026,SIAMPRESS COMPANY LIMITED.,"30/88  MOO 1, CHETSADAWITHI RD., T.KHOKKAM, A.MUANG, SAMUTSAKHON, 74000, THAILAND., Khok Kham, Mueang Samut Sakhon, Samut Sakhon, 74000",rujee@tks.co.th,Rujee,086-3699244,Film Packaging Polyethylene Terephthalate(PET) Type,https://halal.co.th/storages/products/762227.jpg,Services
N/A,Finish Good Process,18T0440010767,N/A,N/A,23/07/2025,thainissei Packaging,"488 M.7, Tha Tum, Si Maha Phot, Prachin Buri 25140, Thailand., Tha Tum, Si Maha Phot, Prachin Buri, 25140",thainissei_hr@hotmail.com,์Nongluk Aemsee,0813770477,,https://halal.co.th/storages/products/653872.jpg,Services
Amcor,Flexibles Packaging,18T0190010667,N/A,N/A,03/06/2026,"Amcor Flexibles Rayong Co., Ltd.","91 Moo 13, King Kaew Road, Racha Thewa Subdistrict, Bang Phli District, Samut Prakan 10540, Racha Thewa, Bang Phli, Samut Prakan, 10540",Maneerat.joktum@amcor.com,-,-,"Flexibles Packaging ""Amcor Flexibles"" Brand",https://halal.co.th/storages/products/771449.jpeg,Services
GOLDEN COINS,GLUTINOUS RICE,17I2800160966,N/A,N/A,31/08/2025,"SIRI INTERGROUP (THAILAND) CO., LTD.","133 MOO 1, PA DAET, PA DAET, CHIANG RAI 57190, THAILAND., Pa Daet, Pa Daet, Chiang Rai, 57190",Siri_intergroup@hotmail.com,-,053-761140,,https://halal.co.th/storages/products/733681.JPG,Services
N/A,GOODIES Lickable Treat For Cat Daily Formula,19T6880021167,N/A,8852070045687,11/11/2025,"s.i.p. siam inter pacific CO., LTD.","147 ChalongKrung Road, Lam Pla Thio Subdistrict, Lat Krabang District, Bangkok 10520, Lam Pla Thio, Khet Lat Krabang, Bangkok, 10520",bbthai@sip.co.th,Mr. Chatchai Lewiwatkul,0909789449,"Wet food, cat treats, lick 
Types of specifically controlled animal feed Types of snacks/snacks for pets 
Wet appearance 
For use on cats aged 2 months and up.",https://halal.co.th/storages/products/771017.png,Services
N/A,GOODIES Lickable Treat For Cat Sensitive Formula,19T6880011167,N/A,8852070045670,11/11/2025,"s.i.p. siam inter pacific CO., LTD.","147 ChalongKrung Road, Lam Pla Thio Subdistrict, Lat Krabang District, Bangkok 10520, Lam Pla Thio, Khet Lat Krabang, Bangkok, 10520",bbthai@sip.co.th,Mr. Chatchai Lewiwatkul,0909789449,"Wet food, cat treats, lick 
Types of specifically controlled animal feed Types of snacks/snacks for pets 
Wet appearance 
For use on cats aged 2 months and up.",https://halal.co.th/storages/products/771573.png,Services
N/A,HDM FOOD GARDE AIR COMPRESSOR OIL,18U7370090668,N/A,N/A,05/06/2026,"HDM Technology (Thailand) Co.,Ltd","999/18 Moo.3 Ban-Chang subdistrict, U-thai district, Ayutthaya, Ban Chang, Uthai, Phra Nakhon Si Ayutthaya, 13210",adelezhang131@gmail.co,Aphiradi Angi,0613858838,,https://halal.co.th/storages/products/796054_2.png,Services
N/A,HDM-150 FOOD GARDE EP GEAR OIL,18U7370040668,N/A,N/A,05/06/2026,"HDM Technology (Thailand) Co.,Ltd","999/18 Moo.3 Ban-Chang subdistrict, U-thai district, Ayutthaya, Ban Chang, Uthai, Phra Nakhon Si Ayutthaya, 13210",adelezhang131@gmail.co,Aphiradi Angi,0613858838,,https://halal.co.th/storages/products/796000_2.png,Services
N/A,HDM-220 FOOD GARDE EP GEAR OIL,18U7370050668,N/A,N/A,05/06/2026,"HDM Technology (Thailand) Co.,Ltd","999/18 Moo.3 Ban-Chang subdistrict, U-thai district, Ayutthaya, Ban Chang, Uthai, Phra Nakhon Si Ayutthaya, 13210",adelezhang131@gmail.co,Aphiradi Angi,0613858838,,https://halal.co.th/storages/products/796003_2.png,Services
N/A,HDM-320 FOOD GARDE EP GEAR OIL,18U7370060668,N/A,N/A,05/06/2026,"HDM Technology (Thailand) Co.,Ltd","999/18 Moo.3 Ban-Chang subdistrict, U-thai district, Ayutthaya, Ban Chang, Uthai, Phra Nakhon Si Ayutthaya, 13210",adelezhang131@gmail.co,Aphiradi Angi,0613858838,,https://halal.co.th/storages/products/796031_2.png,Services
N/A,HDM-46 FOOD GRADE ANTI-WEAR HYDRAULIC OIL,18U7370020668,N/A,N/A,05/06/2026,"HDM Technology (Thailand) Co.,Ltd","999/18 Moo.3 Ban-Chang subdistrict, U-thai district, Ayutthaya, Ban Chang, Uthai, Phra Nakhon Si Ayutthaya, 13210",adelezhang131@gmail.co,Aphiradi Angi,0613858838,,https://halal.co.th/storages/products/796036_2.png,Services
N/A,HDM-68 FOOD GRADE ANTI-WEAR HYDRAULIC OIL,18U7370030668,N/A,N/A,05/06/2026,"HDM Technology (Thailand) Co.,Ltd","999/18 Moo.3 Ban-Chang subdistrict, U-thai district, Ayutthaya, Ban Chang, Uthai, Phra Nakhon Si Ayutthaya, 13210",adelezhang131@gmail.co,Aphiradi Angi,0613858838,,https://halal.co.th/storages/products/796042_2.png,Services
N/A,HDM-F FOOD GARDE VACUUM SEALED OIL,18U7370100668,N/A,N/A,05/06/2026,"HDM Technology (Thailand) Co.,Ltd","999/18 Moo.3 Ban-Chang subdistrict, U-thai district, Ayutthaya, Ban Chang, Uthai, Phra Nakhon Si Ayutthaya, 13210",adelezhang131@gmail.co,Aphiradi Angi,0613858838,,https://halal.co.th/storages/products/796057_2.png,Services
N/A,HDM-FOOD GARDE HEAT CHAIN OIL(HEAVY),18U7370080668,N/A,N/A,05/06/2026,"HDM Technology (Thailand) Co.,Ltd","999/18 Moo.3 Ban-Chang subdistrict, U-thai district, Ayutthaya, Ban Chang, Uthai, Phra Nakhon Si Ayutthaya, 13210",adelezhang131@gmail.co,Aphiradi Angi,0613858838,,https://halal.co.th/storages/products/796065_2.png,Services
N/A,HDM-FOOD GARDE HEAT CHAIN OIL(LIGHT),18U7370070668,N/A,N/A,05/06/2026,"HDM Technology (Thailand) Co.,Ltd","999/18 Moo.3 Ban-Chang subdistrict, U-thai district, Ayutthaya, Ban Chang, Uthai, Phra Nakhon Si Ayutthaya, 13210",adelezhang131@gmail.co,Aphiradi Angi,0613858838,,https://halal.co.th/storages/products/796086_2.png,Services
N/A,HDPE BAG,18P5050030765,N/A,8858667 401256,21/07/2026,UNIQUE PLASTIC INDUSTRY PUBLIC COMPANY LIMITED,"323  Moo 2, Phraek Sa Mai, Mueang Samut Prakan, Samut Prakan, 10280, Thailand., Phraek Sa Mai, Mueang Samut Prakan, Samut Prakan, 10280",areerat_p@uniqueplastic.com,AREERAT PHOKLAM,062 445 9449,,https://halal.co.th/storages/products/675266.jpg,Services
N/A,HDPE BAG,18P5050030765,N/A,8858667 401232,21/07/2026,UNIQUE PLASTIC INDUSTRY PUBLIC COMPANY LIMITED,"323  Moo 2, Phraek Sa Mai, Mueang Samut Prakan, Samut Prakan, 10280, Thailand., Phraek Sa Mai, Mueang Samut Prakan, Samut Prakan, 10280",areerat_p@uniqueplastic.com,AREERAT PHOKLAM,062 445 9449,,https://halal.co.th/storages/products/675267.jpg,Services
N/A,HDPE BAG,18P5050030765,N/A,8858667 401249,21/07/2026,UNIQUE PLASTIC INDUSTRY PUBLIC COMPANY LIMITED,"323  Moo 2, Phraek Sa Mai, Mueang Samut Prakan, Samut Prakan, 10280, Thailand., Phraek Sa Mai, Mueang Samut Prakan, Samut Prakan, 10280",areerat_p@uniqueplastic.com,AREERAT PHOKLAM,062 445 9449,,https://halal.co.th/storages/products/675268.jpg,Services
N/A,HDPE BAG,18P5050030765,N/A,8858667 401263,21/07/2026,UNIQUE PLASTIC INDUSTRY PUBLIC COMPANY LIMITED,"323  Moo 2, Phraek Sa Mai, Mueang Samut Prakan, Samut Prakan, 10280, Thailand., Phraek Sa Mai, Mueang Samut Prakan, Samut Prakan, 10280",areerat_p@uniqueplastic.com,AREERAT PHOKLAM,062 445 9449,,https://halal.co.th/storages/products/675269.jpg,Services
N/A,HDPE BAG,18P5050030765,N/A,8858667 401270,21/07/2026,UNIQUE PLASTIC INDUSTRY PUBLIC COMPANY LIMITED,"323  Moo 2, Phraek Sa Mai, Mueang Samut Prakan, Samut Prakan, 10280, Thailand., Phraek Sa Mai, Mueang Samut Prakan, Samut Prakan, 10280",areerat_p@uniqueplastic.com,AREERAT PHOKLAM,062 445 9449,,https://halal.co.th/storages/products/675270.jpg,Services
N/A,HDPE BAG,18P5050030765,N/A,8858667 401287,21/07/2026,UNIQUE PLASTIC INDUSTRY PUBLIC COMPANY LIMITED,"323  Moo 2, Phraek Sa Mai, Mueang Samut Prakan, Samut Prakan, 10280, Thailand., Phraek Sa Mai, Mueang Samut Prakan, Samut Prakan, 10280",areerat_p@uniqueplastic.com,AREERAT PHOKLAM,062 445 9449,,https://halal.co.th/storages/products/675271.jpg,Services
N/A,HDPE BAG,18P5050120765,N/A,8858667405384,21/07/2026,UNIQUE PLASTIC INDUSTRY PUBLIC COMPANY LIMITED,"323  Moo 2, Phraek Sa Mai, Mueang Samut Prakan, Samut Prakan, 10280, Thailand., Phraek Sa Mai, Mueang Samut Prakan, Samut Prakan, 10280",areerat_p@uniqueplastic.com,AREERAT PHOKLAM,062 445 9449,HDPE BAG,https://halal.co.th/storages/products/681653.jpg,Services
N/A,HDPE BAG,18P5050120765,N/A,8858667405391,21/07/2026,UNIQUE PLASTIC INDUSTRY PUBLIC COMPANY LIMITED,"323  Moo 2, Phraek Sa Mai, Mueang Samut Prakan, Samut Prakan, 10280, Thailand., Phraek Sa Mai, Mueang Samut Prakan, Samut Prakan, 10280",areerat_p@uniqueplastic.com,AREERAT PHOKLAM,062 445 9449,HDPE BAG,https://halal.co.th/storages/products/681654.jpg,Services
N/A,HDPE BAG,18P5050120765,N/A,8858667405384,21/07/2026,UNIQUE PLASTIC INDUSTRY PUBLIC COMPANY LIMITED,"323  Moo 2, Phraek Sa Mai, Mueang Samut Prakan, Samut Prakan, 10280, Thailand., Phraek Sa Mai, Mueang Samut Prakan, Samut Prakan, 10280",areerat_p@uniqueplastic.com,AREERAT PHOKLAM,062 445 9449,HDPE BAG,https://halal.co.th/storages/products/681653.jpg,Services
N/A,HDPE BAG,18P5050120765,N/A,8858667405391,21/07/2026,UNIQUE PLASTIC INDUSTRY PUBLIC COMPANY LIMITED,"323  Moo 2, Phraek Sa Mai, Mueang Samut Prakan, Samut Prakan, 10280, Thailand., Phraek Sa Mai, Mueang Samut Prakan, Samut Prakan, 10280",areerat_p@uniqueplastic.com,AREERAT PHOKLAM,062 445 9449,HDPE BAG,https://halal.co.th/storages/products/681654.jpg,Services
